監測站:   
備註:
1. 濃度單位為微克/立方米 (除一氧化碳為十微克/立方米)
2. N.A. = 沒有資料

年,污染物,監測站,01月,02月,03月,04月,05月,06月,07月,08月,09月,10月,11月,12月
2015,一氧化碳,中環,89,81,65,61,54,48,61,76,74,69,58,68
2015,一氧化碳,元朗,99,79,67,72,60,45,49,43,49,53,48,67
2015,一氧化碳,塔門,77,64,59,75,50,54,61,69,69,65,79,N.A.
2015,一氧化碳,屯門,90,87,71,67,57,51,64,64,63,71,75,85
2015,一氧化碳,旺角,111,111,101,91,80,63,64,69,67,74,84,92
2015,一氧化碳,東涌,67,59,57,60,47,38,58,67,46,53,70,80
2015,一氧化碳,荃灣,85,100,94,82,68,57,68,74,81,91,87,91
2015,一氧化碳,銅鑼灣,68,80,103,86,67,52,66,71,87,76,57,68
2015,二氧化硫,中環,11,10,8,9,7,8,7,12,7,8,8,9
2015,二氧化硫,中西區,11,9,7,14,14,12,10,10,8,12,6,10
2015,二氧化硫,元朗,10,8,6,9,8,7,7,9,8,9,8,9
2015,二氧化硫,塔門,9,8,6,7,6,6,6,7,7,8,8,N.A.
2015,二氧化硫,大埔,7,5,4,6,3,5,6,6,5,6,6,7
2015,二氧化硫,屯門,17,15,11,10,10,7,8,12,9,10,6,8
2015,二氧化硫,旺角,11,11,6,7,6,7,6,9,5,6,5,5
2015,二氧化硫,東區,8,8,4,6,4,5,5,7,5,5,5,5
2015,二氧化硫,東涌,17,14,10,10,7,3,4,5,5,6,5,8
2015,二氧化硫,沙田,11,9,6,9,5,8,6,9,8,9,5,6
2015,二氧化硫,深水埗,12,13,9,14,13,12,10,14,9,7,8,8
2015,二氧化硫,荃灣,17,16,14,17,18,18,12,13,11,11,9,10
2015,二氧化硫,葵涌,18,16,16,25,27,31,16,20,13,11,5,6
2015,二氧化硫,觀塘,12,10,5,9,6,9,7,9,5,7,7,9
2015,二氧化硫,銅鑼灣,8,8,4,7,9,10,10,12,8,9,8,9
2015,可吸入懸浮粒子,中環,63,69,46,35,24,19,28,33,27,33,30,40
2015,可吸入懸浮粒子,中西區,66,73,49,37,23,17,28,33,33,42,37,39
2015,可吸入懸浮粒子,元朗,76,74,47,44,22,17,29,34,35,55,45,48
2015,可吸入懸浮粒子,塔門,66,59,33,30,24,17,24,28,33,43,35,N.A.
2015,可吸入懸浮粒子,大埔,55,58,40,35,22,17,26,31,33,40,35,39
2015,可吸入懸浮粒子,屯門,80,80,48,40,20,14,29,39,38,56,49,54
2015,可吸入懸浮粒子,旺角,71,77,54,41,30,23,32,36,38,44,41,41
2015,可吸入懸浮粒子,東區,60,66,42,33,20,14,23,27,29,39,34,36
2015,可吸入懸浮粒子,東涌,62,69,38,35,19,14,25,27,27,39,36,45
2015,可吸入懸浮粒子,沙田,60,60,38,38,19,14,22,27,27,36,34,35
2015,可吸入懸浮粒子,深水埗,57,65,42,32,22,17,28,34,34,45,39,40
2015,可吸入懸浮粒子,荃灣,54,66,41,33,22,16,24,31,32,42,37,38
2015,可吸入懸浮粒子,葵涌,57,60,37,32,25,22,29,33,32,44,36,35
2015,可吸入懸浮粒子,觀塘,72,75,51,42,26,21,32,38,38,50,41,46
2015,可吸入懸浮粒子,銅鑼灣,79,89,64,54,40,31,43,52,51,59,50,53
2015,微細懸浮粒子,中環,41,45,29,19,12,9,16,23,20,27,19,26
2015,微細懸浮粒子,中西區,45,51,34,23,14,10,17,22,22,27,23,26
2015,微細懸浮粒子,元朗,55,54,34,31,13,9,18,23,26,37,31,27
2015,微細懸浮粒子,塔門,48,44,23,19,12,10,15,20,22,28,19,N.A.
2015,微細懸浮粒子,大埔,38,39,26,22,12,9,15,20,21,28,23,27
2015,微細懸浮粒子,屯門,53,56,33,23,11,8,15,25,29,38,29,36
2015,微細懸浮粒子,旺角,50,54,37,27,19,13,20,25,25,29,29,31
2015,微細懸浮粒子,東區,40,43,28,21,12,8,14,19,20,26,22,24
2015,微細懸浮粒子,東涌,39,44,23,20,10,6,14,17,17,26,22,29
2015,微細懸浮粒子,沙田,42,42,25,23,11,9,14,19,20,26,23,26
2015,微細懸浮粒子,深水埗,38,44,28,20,14,10,17,25,25,30,24,27
2015,微細懸浮粒子,荃灣,38,47,28,21,11,8,14,20,21,28,23,25
