Date,Year,Week,Flu_Index,Temperature,Total_Travellers,CO,SO2,PM10,PM2.5
2013-12-29,2014,1,45.0,9.285714285714286,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-01-05,2014,2,43.8,12.299999999999999,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-01-12,2014,3,52.9,14.428571428571429,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-01-19,2014,4,50.6,11.057142857142859,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-01-26,2014,5,48.3,12.0,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-02-02,2014,6,59.5,15.971428571428572,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-02-09,2014,7,35.5,16.4,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-02-16,2014,8,47.2,8.657142857142857,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-02-23,2014,9,47.9,12.571428571428571,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-03-02,2014,10,37.5,17.642857142857142,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-03-09,2014,11,55.3,14.5,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-03-16,2014,12,51.4,14.757142857142858,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-03-23,2014,13,47.8,17.47142857142857,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-03-30,2014,14,45.2,20.114285714285717,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-04-06,2014,15,43.7,18.900000000000002,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-04-13,2014,16,43.8,20.571428571428573,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-04-20,2014,17,50.8,21.685714285714287,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-04-27,2014,18,38.8,22.12857142857143,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-05-04,2014,19,41.8,21.557142857142857,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-05-11,2014,20,33.3,21.285714285714285,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-05-18,2014,21,42.3,26.2,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-05-25,2014,22,49.9,26.0,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-06-01,2014,23,56.5,26.557142857142857,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-06-08,2014,24,46.4,26.228571428571428,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-06-15,2014,25,48.7,24.599999999999998,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-06-22,2014,26,41.7,26.928571428571427,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-06-29,2014,27,32.3,26.88571428571429,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-07-06,2014,28,40.3,27.32857142857143,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-07-13,2014,29,40.5,27.185714285714287,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-07-20,2014,30,31.3,26.771428571428572,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-07-27,2014,31,22.9,26.8,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-08-03,2014,32,16.4,26.8,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-08-10,2014,33,10.0,26.885714285714283,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-08-17,2014,34,30.5,26.342857142857145,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-08-24,2014,35,30.1,25.52857142857143,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-08-31,2014,36,33.3,26.599999999999998,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-09-07,2014,37,45.2,26.428571428571427,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-09-14,2014,38,44.5,26.642857142857142,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-09-21,2014,39,24.7,25.485714285714288,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-09-28,2014,40,29.4,24.7,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-10-05,2014,41,27.5,25.342857142857145,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-10-12,2014,42,36.1,21.557142857142857,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-10-19,2014,43,38.4,20.985714285714288,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-10-26,2014,44,42.4,22.8,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-11-02,2014,45,41.3,22.400000000000002,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-11-09,2014,46,30.8,20.314285714285713,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-11-16,2014,47,45.7,19.457142857142856,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-11-23,2014,48,49.5,18.485714285714288,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-11-30,2014,49,38.9,21.37142857142857,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-12-07,2014,50,36.5,14.657142857142857,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-12-14,2014,51,50.8,13.842857142857143,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-12-21,2014,52,32.6,10.971428571428572,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2014-12-28,2015,1,39.5,13.485714285714286,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2015-01-04,2015,2,51.8,12.357142857142858,16739.0,85.75,11.933333333333334,65.2,44.46666666666667
2015-01-11,2015,3,57.9,14.685714285714285,16739.0,85.75,11.933333333333334,65.2,44.46666666666666
2015-01-18,2015,4,69.4,12.042857142857143,16739.0,85.75,11.933333333333334,65.2,44.46666666666666
2015-01-25,2015,5,61.1,13.342857142857143,16739.0,85.75,11.933333333333334,65.2,44.46666666666666
2015-02-01,2015,6,71.0,14.857142857142858,16739.0,85.30357142857143,11.752380952380951,65.7904761904762,44.952380952380956
2015-02-08,2015,7,68.6,12.714285714285714,16739.0,82.625,10.666666666666666,69.33333333333333,47.86666666666667
2015-02-15,2015,8,21.2,13.228571428571428,16739.0,82.625,10.666666666666666,69.33333333333333,47.86666666666667
2015-02-22,2015,9,44.3,17.3,16739.0,82.625,10.666666666666666,69.33333333333333,47.86666666666667
2015-03-01,2015,10,52.6,18.257142857142856,16739.0,81.83928571428571,10.247619047619049,65.80952380952381,45.31428571428571
2015-03-08,2015,11,38.6,16.5,16739.0,77.125,7.733333333333333,44.666666666666664,30.0
2015-03-15,2015,12,34.8,16.485714285714288,16739.0,77.125,7.733333333333333,44.666666666666664,30.0
2015-03-22,2015,13,40.1,21.314285714285713,16739.0,77.125,7.733333333333333,44.666666666666664,30.0
2015-03-29,2015,14,41.5,17.814285714285713,16739.0,77.125,7.733333333333333,44.666666666666664,30.0
2015-04-05,2015,15,41.6,23.042857142857144,16739.0,75.07142857142857,9.780952380952382,39.476190476190474,25.285714285714285
2015-04-12,2015,16,41.4,18.7,16739.0,74.25,10.6,37.4,23.4
2015-04-19,2015,17,46.9,19.37142857142857,16739.0,74.25,10.6,37.4,23.4
2015-04-26,2015,18,42.2,20.97142857142857,16739.0,74.25,10.6,37.4,23.4
2015-05-03,2015,19,43.3,24.014285714285712,16739.0,68.30357142857143,10.142857142857142,31.599999999999998,19.257142857142856
2015-05-10,2015,20,43.1,25.25714285714286,16739.0,60.375,9.533333333333333,23.866666666666667,13.733333333333333
2015-05-17,2015,21,58.3,24.7,16739.0,60.375,9.533333333333333,23.866666666666667,13.733333333333333
2015-05-24,2015,22,51.0,24.957142857142856,16739.0,60.375,9.533333333333333,23.866666666666667,13.733333333333333
2015-05-31,2015,23,45.8,26.928571428571427,16739.0,60.375,9.533333333333333,23.866666666666667,13.733333333333333
2015-06-07,2015,24,58.7,26.62857142857143,16739.0,51.0,9.866666666666665,18.2,10.0
2015-06-14,2015,25,53.0,26.885714285714283,16739.0,51.0,9.866666666666665,18.2,10.0
2015-06-21,2015,26,52.4,26.97142857142857,16739.0,51.0,9.866666666666665,18.2,10.0
2015-06-28,2015,27,46.8,26.942857142857143,16739.0,51.0,9.866666666666665,18.2,10.0
2015-07-05,2015,28,40.5,27.2,16739.0,58.410714285714285,8.533333333333333,25.295238095238094,14.952380952380953
2015-07-12,2015,29,48.8,25.214285714285715,16739.0,61.375,8.0,28.133333333333333,16.933333333333334
2015-07-19,2015,30,35.3,27.0,16739.0,61.375,8.0,28.133333333333333,16.933333333333334
2015-07-26,2015,31,31.4,26.042857142857144,16739.0,61.375,8.0,28.133333333333333,16.933333333333334
2015-08-02,2015,32,36.0,25.785714285714285,16739.0,62.875,8.647619047619047,29.676190476190474,18.60952380952381
2015-08-09,2015,33,29.9,26.2,16739.0,66.625,10.266666666666667,33.53333333333333,22.8
2015-08-16,2015,34,30.1,26.32857142857143,16739.0,66.625,10.266666666666667,33.53333333333333,22.8
2015-08-23,2015,35,44.2,26.785714285714285,16739.0,66.625,10.266666666666667,33.53333333333333,22.8
2015-08-30,2015,36,37.6,25.814285714285713,16739.0,66.625,10.266666666666667,33.53333333333333,22.8
2015-09-06,2015,37,40.7,26.085714285714285,16739.0,66.94642857142857,7.923809523809524,33.76190476190476,23.085714285714285
